name	x	y	z	size	group
G2	-49.5	43.5	27.0	4.1547562843725006	G
G3	-50.0	37.0	33.0	4.1547562843725006	G
G4	-51.333333	30.0	39.333333	4.1547562843725006	G
G5	-49.333333	21.0	47.0	4.1547562843725006	G
G6	-49.333333	14.0	52.666667	4.1547562843725006	G
G7	-49.333333	5.333333	58.0	4.1547562843725006	G
G8	-44.4	-3.2	62.8	4.1547562843725006	G
G9	-54.0	46.0	12.0	4.1547562843725006	G
G10	-55.0	40.0	19.0	4.1547562843725006	G
G11	-57.6	33.2	25.6	4.1547562843725006	G
G12	-57.0	25.333333	33.333333	4.1547562843725006	G
G13	-57.0	16.0	40.0	4.1547562843725006	G
G14	-56.666667	9.333333	46.0	4.1547562843725006	G
G15	-57.0	0.0	51.0	4.1547562843725006	G
G16	-54.666667	-8.0	55.333333	4.1547562843725006	G
G17	-58.0	41.0	3.0	4.1547562843725006	G
G18	-62.666667	34.0	11.333333	4.1547562843725006	G
G19	-63.333333	27.333333	18.0	4.1547562843725006	G
G20	-64.0	18.666667	25.333333	4.1547562843725006	G
G21	-64.0	10.0	31.0	4.1547562843725006	G
G22	-63.2	3.2	37.6	4.1547562843725006	G
G23	-64.0	-6.0	41.0	4.1547562843725006	G
G24	-62.666667	-14.0	48.666667	4.1547562843725006	G
G25	-61.333333	35.0	-5.333333	4.1547562843725006	G
G26	-64.0	26.0	1.0	4.1547562843725006	G
G27	-66.0	20.666667	9.333333	4.1547562843725006	G
G28	-65.333333	12.666667	17.0	4.1547562843725006	G
G29	-68.0	4.666667	22.666667	4.1547562843725006	G
G30	-68.0	-4.0	29.0	4.1547562843725006	G
G31	-67.0	-11.0	34.0	4.1547562843725006	G
G32	-66.0	-19.0	41.0	4.1547562843725006	G
G33	-57.5	27.5	-13.5	4.1547562843725006	G
G34	-62.0	20.0	-7.0	4.1547562843725006	G
G35	-64.0	14.0	-1.0	4.1547562843725006	G
G36	-69.333333	8.0	7.333333	4.1547562843725006	G
G37	-70.0	-2.0	14.0	4.1547562843725006	G
G38	-71.0	-9.0	20.0	4.1547562843725006	G
G39	-70.0	-17.0	26.0	4.1547562843725006	G
G40	-69.333333	-24.666667	33.333333	4.1547562843725006	G
G41	-57.0	22.0	-22.0	4.1547562843725006	G
G42	-62.0	14.666667	-15.333333	4.1547562843725006	G
G43	-66.0	7.0	-10.0	4.1547562843725006	G
G44	-70.0	-0.8	-2.4	4.1547562843725006	G
G45	-73.5	-7.5	5.0	4.1547562843725006	G
G46	-72.0	-16.0	12.0	4.1547562843725006	G
G47	-71.2	-23.6	19.2	4.1547562843725006	G
G48	-70.0	-31.0	27.0	4.1547562843725006	G
G49	-58.0	16.0	-31.0	4.1547562843725006	G
G50	-62.0	9.0	-24.0	4.1547562843725006	G
G51	-67.0	1.0	-18.0	4.1547562843725006	G
G52	-71.0	-7.0	-10.666667	4.1547562843725006	G
G53	-72.0	-14.0	-5.0	4.1547562843725006	G
G54	-71.0	-23.5	3.5	4.1547562843725006	G
G55	-72.0	-30.0	9.0	4.1547562843725006	G
G56	-70.0	-37.333333	17.333333	4.1547562843725006	G
G57	-56.0	8.666667	-39.333333	4.1547562843725006	G
G58	-60.8	1.6	-32.8	4.1547562843725006	G
G62	-72.0	-28.0	-4.0	4.1547562843725006	G
G63	-71.333333	-36.0	2.666667	4.1547562843725006	G
G64	-69.0	-43.0	9.5	4.1547562843725006	G
G65	-50.0	47.333333	22.666667	0.7853981633974483	EG
G66	-51.2	40.4	31.2	0.7853981633974483	EG
G67	-50.0	31.0	37.0	0.7853981633974483	EG
G68	-51.333333	48.0	17.333333	0.7853981633974483	EG
G69	-52.0	46.666667	20.666667	0.7853981633974483	EG
G70	-50.666667	42.0	22.666667	0.7853981633974483	EG
G71	-53.333333	38.666667	26.0	0.7853981633974483	EG
G72	-53.0	35.0	28.0	0.7853981633974483	EG
G73	-53.333333	30.666667	33.333333	0.7853981633974483	EG
G74	-54.666667	42.0	16.666667	0.7853981633974483	EG
G75	-57.0	36.0	22.0	0.7853981633974483	EG
G76	-59.0	29.0	29.0	0.7853981633974483	EG
G77	-56.0	43.0	8.0	0.7853981633974483	EG
G78	-58.8	40.8	11.6	0.7853981633974483	EG
G79	-59.5	38.0	11.5	0.7853981633974483	EG
G80	-57.333333	35.333333	20.0	0.7853981633974483	EG
G81	-62.0	29.333333	20.666667	0.7853981633974483	EG
G82	-61.333333	27.333333	26.0	0.7853981633974483	EG
G83	-62.0	21.0	29.0	0.7853981633974483	EG
G84	-60.8	17.2	32.4	0.7853981633974483	EG
G85	-61.333333	12.666667	35.0	0.7853981633974483	EG
G86	-61.142857	38.857143	6.857143	0.7853981633974483	EG
G87	-62.0	30.0	14.0	0.7853981633974483	EG
G88	-64.0	22.0	21.0	0.7853981633974483	EG
G89	-62.666667	12.0	28.666667	0.7853981633974483	EG
G90	-63.0	6.5	35.5	0.7853981633974483	EG
G91	-63.6	-3.2	38.8	0.7853981633974483	EG
G92	-61.0	39.0	-2.0	0.7853981633974483	EG
G93	-62.0	34.0	3.0	0.7853981633974483	EG
G94	-64.0	29.333333	5.333333	0.7853981633974483	EG
G95	-65.0	28.0	8.0	0.7853981633974483	EG
G96	-66.0	24.0	14.0	0.7853981633974483	EG
G97	-66.0	19.333333	17.333333	0.7853981633974483	EG
G98	-64.0	16.666667	21.333333	0.7853981633974483	EG
G99	-65.0	11.5	23.5	0.7853981633974483	EG
G100	-67.0	8.0	27.0	0.7853981633974483	EG
G101	-66.0	4.0	30.0	0.7853981633974483	EG
G102	-66.8	-0.8	33.2	0.7853981633974483	EG
G103	-66.0	-4.0	36.0	0.7853981633974483	EG
G104	-66.0	-8.0	39.0	0.7853981633974483	EG
G105	-65.2	-13.2	42.4	0.7853981633974483	EG
G106	-61.0	30.0	-2.0	0.7853981633974483	EG
G107	-64.666667	23.0	4.666667	0.7853981633974483	EG
G108	-65.0	18.0	12.0	0.7853981633974483	EG
G109	-68.666667	8.0	18.666667	0.7853981633974483	EG
G110	-68.0	-1.0	27.0	0.7853981633974483	EG
G111	-69.0	-8.0	33.0	0.7853981633974483	EG
G112	-69.2	0.4	12.8	0.7853981633974483	EG
G113	-71.0	-6.0	18.0	0.7853981633974483	EG
G114	-71.0	-14.0	24.0	0.7853981633974483	EG
G115	-71.0	-21.0	30.5	0.7853981633974483	EG
G116	-69.333333	1.333333	0.666667	0.7853981633974483	EG
G117	-70.666667	-2.666667	2.666667	0.7853981633974483	EG
G118	-71.333333	-4.0	11.333333	0.7853981633974483	EG
G119	-72.666667	-8.666667	12.666667	0.7853981633974483	EG
G120	-71.2	-13.2	17.6	0.7853981633974483	EG
G121	-70.5	-15.5	19.0	0.7853981633974483	EG
G122	-70.0	-20.666667	22.666667	0.7853981633974483	EG
G123	-71.0	-25.0	26.0	0.7853981633974483	EG
G124	-72.0	-5.2	1.2	0.7853981633974483	EG
G125	-72.0	-12.0	5.0	0.7853981633974483	EG
G126	-70.0	-20.0	17.0	0.7853981633974483	EG
G127	-71.2	-27.2	22.4	0.7853981633974483	EG
G128	-71.2	-7.6	-2.8	0.7853981633974483	EG
