name	x	y	z	size	group
G2	60.0	-1.333333	-29.333333	4.1547562843725006	G
G3	66.0	-9.333333	-21.333333	4.1547562843725006	G
G4	69.0	-16.0	-14.0	4.1547562843725006	G
G5	70.666667	-24.666667	-9.0	4.1547562843725006	G
G6	71.0	-32.0	-2.0	4.1547562843725006	G
G7	68.666667	-40.0	3.333333	4.1547562843725006	G
G8	67.0	-46.0	10.0	4.1547562843725006	G
G9	56.666667	10.0	-26.666667	4.1547562843725006	G
G10	63.0	4.0	-20.0	4.1547562843725006	G
G11	64.8	-4.4	-15.2	4.1547562843725006	G
G12	70.0	-10.666667	-6.666667	4.1547562843725006	G
G13	71.0	-18.0	0.0	4.1547562843725006	G
G14	71.0	-24.0	6.0	4.1547562843725006	G
G15	69.2	-33.2	10.4	4.1547562843725006	G
G16	67.5	-41.5	17.5	4.1547562843725006	G
G17	56.0	17.0	-18.0	4.1547562843725006	G
G18	61.6	8.8	-10.8	4.1547562843725006	G
G19	65.0	2.0	-6.0	4.1547562843725006	G
G20	67.0	-4.0	1.0	4.1547562843725006	G
G21	67.0	-12.0	8.0	4.1547562843725006	G
G22	69.0	-20.0	12.0	4.1547562843725006	G
G23	67.333333	-28.0	19.333333	4.1547562843725006	G
G24	66.666667	-34.888889	24.888889	4.1547562843725006	G
G25	54.4	21.2	-9.2	4.1547562843725006	G
G26	59.142857	15.142857	-2.857143	4.1547562843725006	G
G27	63.0	8.0	2.0	4.1547562843725006	G
G28	66.0	1.0	9.0	4.1547562843725006	G
G29	67.0	-6.0	15.0	4.1547562843725006	G
G30	68.0	-13.333333	21.333333	4.1547562843725006	G
G31	68.0	-22.0	26.0	4.1547562843725006	G
G32	65.0	-30.0	32.0	4.1547562843725006	G
G33	56.666667	28.666667	0.0	4.1547562843725006	G
G34	59.0	22.5	6.5	4.1547562843725006	G
G35	62.4	15.2	12.8	4.1547562843725006	G
G36	62.0	8.0	19.0	4.1547562843725006	G
