name	x	y	z	size	group
PF2	-57.2	15.6	30.8	4.1547562843725006	S
PF3	-50.0	16.666667	40.666667	4.1547562843725006	S
PF4	-46.0	19.0	49.0	4.1547562843725006	S
PF5	-40.4	16.8	57.2	4.1547562843725006	S
PF6	-34.0	10.666667	64.666667	4.1547562843725006	S
LF1	-39.5	50.5	-19.0	4.1547562843725006	S
LF2	-50.666667	48.0	-2.666667	4.1547562843725006	S
LF3	-54.0	43.333333	11.333333	4.1547562843725006	S
LF4	-50.0	38.0	23.0	4.1547562843725006	S
LF5	-46.0	33.5	36.0	4.1547562843725006	S
LF6	-41.5	31.0	45.5	4.1547562843725006	S
LF7	-37.5	25.5	53.5	4.1547562843725006	S
LF8	-35.2	18.8	58.4	4.1547562843725006	S
MF1	-32.0	66.0	3.0	4.1547562843725006	S
MF2	-38.0	61.0	13.0	4.1547562843725006	S
MF3	-40.8	54.4	22.8	4.1547562843725006	S
MF4	-40.0	48.0	33.0	4.1547562843725006	S
MF5	-39.0	42.0	41.0	4.1547562843725006	S
MF6	-34.0	34.5	48.5	4.1547562843725006	S
MF7	-32.0	26.666667	56.333333	4.1547562843725006	S
MF8	-35.0	15.5	60.5	4.1547562843725006	S
SFP1	-53.0	-9.0	52.0	4.1547562843725006	S
SFP2	-54.0	-21.0	50.0	4.1547562843725006	S
SFP3	-51.6	-35.2	57.2	4.1547562843725006	S
SFP4	-49.2	-45.2	57.6	4.1547562843725006	S
SFP5	-44.666667	-59.0	56.666667	4.1547562843725006	S
SFP6	-39.0	-68.0	55.0	4.1547562843725006	S
IFP1	-66.0	-23.6	23.2	4.1547562843725006	S
IFP2	-62.5	-36.5	28.5	4.1547562843725006	S
IFP3	-58.5	-48.5	34.5	4.1547562843725006	S
IFP4	-55.333333	-57.0	40.666667	4.1547562843725006	S
IFP5	-50.4	-64.8	41.2	4.1547562843725006	S
IFP6	-40.0	-74.666667	44.666667	4.1547562843725006	S
PO1	-64.666667	-51.0	-10.666667	4.1547562843725006	S
PO2	-62.0	-58.0	0.5	4.1547562843725006	S
PO3	-58.0	-65.0	10.0	4.1547562843725006	S
PO4	-55.142857	-69.142857	20.857143	4.1547562843725006	S
PO5	-49.333333	-74.0	28.666667	4.1547562843725006	S
PO6	-39.5	-79.0	38.5	4.1547562843725006	S
O1	-19.0	-102.0	3.0	4.1547562843725006	S
O2	-23.0	-98.0	15.0	4.1547562843725006	S
O3	-23.333333	-94.0	24.666667	4.1547562843725006	S
O4	-28.0	-87.333333	35.333333	4.1547562843725006	S
DI1	-37.0	11.0	-15.0	4.1547562843725006	D
DI2	-36.307692	5.076923	-12.0	4.1547562843725006	D
DI3	-36.0	0.222222	-5.555556	4.1547562843725006	D
DI4	-37.4	-3.0	-1.0	4.1547562843725006	D
DI5	-36.571429	-6.857143	2.571429	4.1547562843725006	D
DI6	-37.0	-10.0	7.0	4.1547562843725006	D
DI7	-38.0	-12.666667	10.888889	4.1547562843725006	D
DI8	-38.4	-16.8	15.0	4.1547562843725006	D
DI9	-39.0	-23.0	18.666667	4.1547562843725006	D
DI10	-40.0	-26.666667	20.666667	4.1547562843725006	D
DIF1	-21.0	27.0	-25.0	4.1547562843725006	D
DIF2	-21.2	26.4	-15.2	4.1547562843725006	D
DIF3	-23.0	26.5	-10.5	4.1547562843725006	D
DIF4	-23.0	23.333333	-2.666667	4.1547562843725006	D
DIF5	-23.0	22.0	3.0	4.1547562843725006	D
DIF6	-23.2	19.6	8.8	4.1547562843725006	D
DIF7	-25.0	18.666667	14.666667	4.1547562843725006	D
DIF8	-25.0	17.0	20.0	4.1547562843725006	D
DIF9	-25.0	16.0	25.0	4.1547562843725006	D
DIF10	-24.5	15.0	31.5	4.1547562843725006	D
DIF11	-26.666667	13.0	36.0	4.1547562843725006	D
DIF12	-29.666667	12.0	41.0	4.1547562843725006	D
DLT1	-48.0	-8.4	-44.0	4.1547562843725006	D
DLT2	-47.333333	-16.0	-37.333333	4.1547562843725006	D
DLT3	-47.333333	-20.666667	-30.0	4.1547562843725006	D
DLT4	-45.6	-22.8	-19.8	4.1547562843725006	D
DLT5	-44.125	-25.25	-2.125	4.1547562843725006	D
DLT6	-42.333333	-31.333333	11.333333	4.1547562843725006	D
DLT7	-43.25	-37.75	21.0	4.1547562843725006	D
DLT8	-38.666667	-48.666667	29.0	4.1547562843725006	D
DLT9	-38.222222	-60.0	37.111111	4.1547562843725006	D
DLT10	-38.0	-67.0	45.0	4.1547562843725006	D
DMF1	-7.0	40.0	9.0	4.1547562843725006	D
DMF2	-7.6	36.0	14.8	4.1547562843725006	D
DMF3	-10.857143	32.857143	18.857143	4.1547562843725006	D
DMF4	-11.75	31.25	22.5	4.1547562843725006	D
DMF5	-12.0	28.571429	28.571429	4.1547562843725006	D
DMF6	-12.571429	27.428571	32.571429	4.1547562843725006	D
DMF7	-14.0	24.666667	37.333333	4.1547562843725006	D
DMF8	-14.5	22.0	43.0	4.1547562843725006	D
DMF9	-16.0	19.6	47.6	4.1547562843725006	D
DMF10	-19.666667	16.666667	49.666667	4.1547562843725006	D
DMP1	-4.0	-30.888889	53.111111	4.1547562843725006	D
DMP2	-6.0	-34.5	54.0	4.1547562843725006	D
DMP3	-7.333333	-39.333333	54.0	4.1547562843725006	D
DMP4	-10.8	-42.8	52.4	4.1547562843725006	D
DMP5	-14.5	-47.0	51.5	4.1547562843725006	D
DMP6	-17.0	-52.0	52.0	4.1547562843725006	D
DMP7	-20.666667	-58.333333	53.0	4.1547562843725006	D
DMP8	-25.333333	-63.0	54.666667	4.1547562843725006	D
DMP9	-28.666667	-66.666667	53.0	4.1547562843725006	D
DMP10	-31.142857	-69.142857	49.142857	4.1547562843725006	D
