name	type	units	low_cutoff	high_cutoff	sampling_frequency	status	status_description
PO1	ECOG	uV	n/a	n/a	512.0	good	n/a
PO2	ECOG	uV	n/a	n/a	512.0	good	n/a
PO3	ECOG	uV	n/a	n/a	512.0	good	n/a
PO4	ECOG	uV	n/a	n/a	512.0	good	n/a
PO5	ECOG	uV	n/a	n/a	512.0	good	n/a
PO6	ECOG	uV	n/a	n/a	512.0	good	n/a
O1	ECOG	uV	n/a	n/a	512.0	good	n/a
O2	ECOG	uV	n/a	n/a	512.0	good	n/a
O3	ECOG	uV	n/a	n/a	512.0	good	n/a
O4	ECOG	uV	n/a	n/a	512.0	good	n/a
SFP1	ECOG	uV	n/a	n/a	512.0	good	n/a
SFP2	ECOG	uV	n/a	n/a	512.0	good	n/a
SFP3	ECOG	uV	n/a	n/a	512.0	good	n/a
SFP4	ECOG	uV	n/a	n/a	512.0	good	n/a
SFP5	ECOG	uV	n/a	n/a	512.0	good	n/a
LF1	ECOG	uV	n/a	n/a	512.0	good	n/a
LF2	ECOG	uV	n/a	n/a	512.0	good	n/a
LF3	ECOG	uV	n/a	n/a	512.0	good	n/a
LF4	ECOG	uV	n/a	n/a	512.0	good	n/a
LF5	ECOG	uV	n/a	n/a	512.0	good	n/a
LF6	ECOG	uV	n/a	n/a	512.0	good	n/a
LF7	ECOG	uV	n/a	n/a	512.0	good	n/a
LF8	ECOG	uV	n/a	n/a	512.0	good	n/a
PF1	ECOG	uV	n/a	n/a	512.0	bad	no localization
PF2	ECOG	uV	n/a	n/a	512.0	good	n/a
PF3	ECOG	uV	n/a	n/a	512.0	good	n/a
PF4	ECOG	uV	n/a	n/a	512.0	good	n/a
PF5	ECOG	uV	n/a	n/a	512.0	good	n/a
PF6	ECOG	uV	n/a	n/a	512.0	good	n/a
MF1	ECOG	uV	n/a	n/a	512.0	good	n/a
MF2	ECOG	uV	n/a	n/a	512.0	good	n/a
MF3	ECOG	uV	n/a	n/a	512.0	good	n/a
MF4	ECOG	uV	n/a	n/a	512.0	good	n/a
MF5	ECOG	uV	n/a	n/a	512.0	good	n/a
MF6	ECOG	uV	n/a	n/a	512.0	good	n/a
MF7	ECOG	uV	n/a	n/a	512.0	good	n/a
MF8	ECOG	uV	n/a	n/a	512.0	good	n/a
IFP1	ECOG	uV	n/a	n/a	512.0	good	n/a
IFP2	ECOG	uV	n/a	n/a	512.0	good	n/a
IFP3	ECOG	uV	n/a	n/a	512.0	good	n/a
IFP4	ECOG	uV	n/a	n/a	512.0	good	n/a
IFP	ECOG	uV	n/a	n/a	512.0	bad	no localization
IFP6	ECOG	uV	n/a	n/a	512.0	good	n/a
DI1	ECOG	uV	n/a	n/a	512.0	good	n/a
DI2	ECOG	uV	n/a	n/a	512.0	good	n/a
DI3	ECOG	uV	n/a	n/a	512.0	good	n/a
DI4	ECOG	uV	n/a	n/a	512.0	good	n/a
DI5	ECOG	uV	n/a	n/a	512.0	good	n/a
DI6	ECOG	uV	n/a	n/a	512.0	good	n/a
DI7	ECOG	uV	n/a	n/a	512.0	good	n/a
DI8	ECOG	uV	n/a	n/a	512.0	good	n/a
