name	x	y	z	size	group
G2	-58.0	-13.333333	55.333333	4.1547562843725006	G
G3	-64.4	-17.2	48.0	4.1547562843725006	G
G4	-68.666667	-23.0	38.666667	4.1547562843725006	G
G5	-71.0	-30.0	32.0	4.1547562843725006	G
G6	-71.0	-35.5	22.5	4.1547562843725006	G
G7	-70.0	-42.666667	14.666667	4.1547562843725006	G
G8	-70.666667	-48.0	5.333333	4.1547562843725006	G
G9	-50.666667	0.666667	58.0	4.1547562843725006	G
G10	-60.0	-3.0	51.0	4.1547562843725006	G
G11	-65.333333	-8.0	41.333333	4.1547562843725006	G
G12	-70.0	-14.0	33.0	4.1547562843725006	G
G13	-72.0	-19.333333	24.666667	4.1547562843725006	G
G14	-73.333333	-26.0	17.333333	4.1547562843725006	G
G15	-74.0	-33.0	7.0	4.1547562843725006	G
G16	-73.6	-39.2	-0.8	4.1547562843725006	G
G17	-52.0	12.0	53.0	4.1547562843725006	G
G18	-59.0	8.0	46.0	4.1547562843725006	G
G19	-64.666667	2.0	36.666667	4.1547562843725006	G
G20	-69.6	-5.2	27.2	4.1547562843725006	G
G21	-71.2	-11.2	18.8	4.1547562843725006	G
G22	-73.0	-17.0	10.0	4.1547562843725006	G
G23	-74.0	-23.0	0.0	4.1547562843725006	G
G24	-74.0	-31.0	-8.0	4.1547562843725006	G
G25	-51.6	20.8	46.8	4.1547562843725006	G
G26	-59.0	18.0	40.0	4.1547562843725006	G
G27	-64.666667	11.0	30.666667	4.1547562843725006	G
G28	-69.0	5.0	20.0	4.1547562843725006	G
G29	-71.0	-2.0	13.0	4.1547562843725006	G
G30	-71.5	-7.0	3.5	4.1547562843725006	G
G31	-73.2	-14.8	-5.6	4.1547562843725006	G
G32	-74.0	-20.666667	-15.333333	4.1547562843725006	G
G33	-51.333333	29.0	41.333333	4.1547562843725006	G
G34	-60.0	25.333333	31.333333	4.1547562843725006	G
G35	-66.0	20.0	23.0	4.1547562843725006	G
G36	-66.5	13.5	14.5	4.1547562843725006	G
G37	-70.0	7.0	4.0	4.1547562843725006	G
G38	-70.0	1.0	-5.0	4.1547562843725006	G
G39	-71.0	-5.0	-13.0	4.1547562843725006	G
G40	-70.857143	-10.857143	-22.857143	4.1547562843725006	G
G41	-50.0	37.0	34.0	4.1547562843725006	G
G42	-59.0	34.0	25.0	4.1547562843725006	G
G43	-64.857143	28.857143	14.857143	4.1547562843725006	G
G44	-66.0	23.0	7.0	4.1547562843725006	G
G45	-64.0	16.0	-1.0	4.1547562843725006	G
G46	-65.0	10.0	-10.0	4.1547562843725006	G
