name	x	y	z	size	group
LGA2	-54.0	40.0	23.0	4.1547562843725006	G
LGA3	-57.0	31.0	30.0	4.1547562843725006	G
LGA4	-59.0	22.666667	34.666667	4.1547562843725006	G
LGA5	-59.333333	13.0	39.333333	4.1547562843725006	G
LGA6	-60.0	4.0	44.0	4.1547562843725006	G
LGA7	-62.0	-7.0	48.0	4.1547562843725006	G
LGA8	-62.0	-16.0	51.0	4.1547562843725006	G
LGA9	-57.0	46.0	8.0	4.1547562843725006	G
LGA10	-59.0	38.0	13.0	4.1547562843725006	G
LGA11	-62.4	28.8	18.8	4.1547562843725006	G
LGA12	-64.0	21.0	25.0	4.1547562843725006	G
LGA13	-65.142857	11.142857	29.142857	4.1547562843725006	G
LGA14	-66.0	1.0	34.0	4.1547562843725006	G
LGA15	-66.0	-9.0	39.0	4.1547562843725006	G
LGA16	-66.0	-19.0	43.0	4.1547562843725006	G
LGA17	-58.0	43.333333	-3.333333	4.1547562843725006	G
LGA18	-63.0	35.0	2.0	4.1547562843725006	G
LGA19	-64.8	24.8	8.4	4.1547562843725006	G
LGA20	-65.5	15.0	12.5	4.1547562843725006	G
LGA21	-69.0	7.0	19.0	4.1547562843725006	G
LGA22	-70.5	-3.5	22.5	4.1547562843725006	G
LGA23	-70.0	-14.0	28.0	4.1547562843725006	G
LGA24	-70.0	-23.333333	32.666667	4.1547562843725006	G
LGA25	-58.0	37.0	-12.0	4.1547562843725006	G
LGA26	-61.0	29.0	-8.0	4.1547562843725006	G
LGA27	-63.333333	20.0	-0.666667	4.1547562843725006	G
LGA28	-66.857143	11.142857	3.142857	4.1547562843725006	G
LGA29	-71.0	2.0	6.0	4.1547562843725006	G
LGA30	-71.333333	-6.666667	13.0	4.1547562843725006	G
LGA31	-72.0	-18.0	18.0	4.1547562843725006	G
LGA32	-71.0	-27.0	22.0	4.1547562843725006	G
LGA33	-52.0	30.666667	-19.333333	4.1547562843725006	G
LGA34	-56.8	23.6	-14.8	4.1547562843725006	G
LGA35	-62.0	17.0	-11.0	4.1547562843725006	G
LGA36	-68.0	8.0	-8.0	4.1547562843725006	G
LGA37	-69.333333	-0.666667	-3.0	4.1547562843725006	G
LGA38	-72.0	-11.333333	2.666667	4.1547562843725006	G
LGA39	-72.0	-22.0	7.0	4.1547562843725006	G
LGA40	-72.0	-32.0	12.0	4.1547562843725006	G
LGA41	-47.0	26.0	-25.0	4.1547562843725006	G
LGA42	-55.0	22.0	-24.0	4.1547562843725006	G
LGA43	-62.0	14.0	-21.0	4.1547562843725006	G
LGA44	-66.666667	4.0	-17.333333	4.1547562843725006	G
LGA45	-70.857143	-5.142857	-13.142857	4.1547562843725006	G
LGA46	-74.0	-15.0	-8.0	4.1547562843725006	G
LGA47	-74.0	-25.0	-3.0	4.1547562843725006	G
LGA48	-73.0	-35.0	2.0	4.1547562843725006	G
LGA49	-47.2	23.2	-35.6	4.1547562843725006	G
LGA50	-57.0	17.0	-33.0	4.1547562843725006	G
LGA51	-61.333333	9.0	-31.333333	4.1547562843725006	G
LGA52	-65.5	-1.0	-27.5	4.1547562843725006	G
LGA53	-69.333333	-10.0	-23.333333	4.1547562843725006	G
LGA54	-73.333333	-20.0	-19.333333	4.1547562843725006	G
LGA55	-74.0	-29.0	-12.0	4.1547562843725006	G
LGA56	-73.5	-38.5	-9.0	4.1547562843725006	G
LGA57	-45.0	17.333333	-43.333333	4.1547562843725006	G
LGA58	-54.0	11.333333	-42.666667	4.1547562843725006	G
LGA59	-60.0	3.0	-38.0	4.1547562843725006	G
LGA60	-62.285714	-5.142857	-34.857143	4.1547562843725006	G
LGA61	-66.8	-13.6	-30.8	4.1547562843725006	G
LGA62	-69.333333	-24.0	-27.333333	4.1547562843725006	G
LGA63	-71.0	-33.0	-21.0	4.1547562843725006	G
LGA64	-71.0	-43.0	-17.0	4.1547562843725006	G
LGB65	-53.0	44.0	21.0	0.7853981633974483	EG
LGB66	-55.0	36.0	26.0	0.7853981633974483	EG
LGB67	-57.0	27.0	32.0	0.7853981633974483	EG
LGB68	-54.4	46.8	12.8	0.7853981633974483	EG
LGB69	-56.0	44.0	15.0	0.7853981633974483	EG
LGB70	-57.0	40.0	19.0	0.7853981633974483	EG
LGB71	-58.0	36.0	21.0	0.7853981633974483	EG
LGB72	-60.0	31.0	24.0	0.7853981633974483	EG
LGB73	-60.0	26.0	27.0	0.7853981633974483	EG
LGB74	-58.0	42.666667	11.333333	0.7853981633974483	EG
LGB75	-61.0	34.0	15.0	0.7853981633974483	EG
LGB76	-63.333333	24.0	21.333333	0.7853981633974483	EG
LGB77	-57.6	44.8	2.8	0.7853981633974483	EG
LGB78	-60.0	41.0	5.0	0.7853981633974483	EG
LGB79	-61.333333	37.333333	7.0	0.7853981633974483	EG
LGB80	-63.0	32.0	11.0	0.7853981633974483	EG
LGB81	-64.0	27.0	13.0	0.7853981633974483	EG
LGB82	-66.0	23.0	15.0	0.7853981633974483	EG
LGB83	-66.0	19.0	19.0	0.7853981633974483	EG
LGB84	-66.0	15.0	21.0	0.7853981633974483	EG
LGB85	-68.0	9.0	23.0	0.7853981633974483	EG
LGB86	-61.0	40.0	0.0	0.7853981633974483	EG
LGB87	-64.0	30.0	5.0	0.7853981633974483	EG
LGB88	-66.0	20.0	10.0	0.7853981633974483	EG
LGB89	-67.333333	12.0	14.666667	0.7853981633974483	EG
LGB90	-69.2	0.8	20.4	0.7853981633974483	EG
LGB91	-71.2	-7.2	25.6	0.7853981633974483	EG
LGB92	-58.8	41.2	-8.4	0.7853981633974483	EG
LGB93	-62.0	37.0	-5.0	0.7853981633974483	EG
LGB94	-62.0	32.666667	-2.666667	0.7853981633974483	EG
LGB95	-63.0	27.0	-1.0	0.7853981633974483	EG
LGB96	-64.0	23.0	3.0	0.7853981633974483	EG
LGB97	-64.8	17.2	5.6	0.7853981633974483	EG
LGB98	-66.8	13.2	7.6	0.7853981633974483	EG
LGB99	-70.0	9.0	10.0	0.7853981633974483	EG
LGB100	-70.0	3.0	11.0	0.7853981633974483	EG
LGB101	-70.0	-1.0	15.0	0.7853981633974483	EG
LGB102	-72.0	-5.333333	17.333333	0.7853981633974483	EG
LGB103	-71.0	-11.0	20.0	0.7853981633974483	EG
LGB104	-71.0	-15.0	23.0	0.7853981633974483	EG
LGB105	-71.0	-20.0	25.0	0.7853981633974483	EG
LGB106	-60.0	33.0	-10.0	0.7853981633974483	EG
LGB107	-62.0	24.0	-5.0	0.7853981633974483	EG
LGB108	-65.0	16.0	1.0	0.7853981633974483	EG
LGB109	-69.333333	7.333333	5.0	0.7853981633974483	EG
LGB110	-70.0	-3.0	9.0	0.7853981633974483	EG
LGB111	-72.0	-12.0	15.0	0.7853981633974483	EG
LGB112	-68.0	2.666667	-5.333333	0.7853981633974483	EG
LGB113	-72.0	-6.0	0.0	0.7853981633974483	EG
LGB114	-72.857143	-17.142857	5.142857	0.7853981633974483	EG
LGB115	-71.142857	-26.857143	9.142857	0.7853981633974483	EG
LGB116	-66.4	5.2	-12.8	0.7853981633974483	EG
LGB117	-68.0	1.0	-10.0	0.7853981633974483	EG
LGB118	-69.0	-4.0	-8.0	0.7853981633974483	EG
LGB119	-72.0	-8.666667	-5.333333	0.7853981633974483	EG
LGB120	-72.0	-13.333333	-2.666667	0.7853981633974483	EG
LGB121	-73.0	-19.0	0.0	0.7853981633974483	EG
LGB122	-72.0	-25.0	2.0	0.7853981633974483	EG
LGB123	-73.0	-29.5	3.5	0.7853981633974483	EG
LGB124	-68.666667	-1.0	-15.333333	0.7853981633974483	EG
LGB125	-73.0	-10.0	-11.0	0.7853981633974483	EG
LGB126	-74.0	-20.0	-5.0	0.7853981633974483	EG
