name	type	units	low_cutoff	high_cutoff	sampling_frequency	status	status_description
LSF1	ECOG	uV	n/a	n/a	512.0	bad	no localization
LSF2	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF3	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF4	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF5	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF6	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF7	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF8	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF9	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF10	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF11	ECOG	uV	n/a	n/a	512.0	good	n/a
LSF12	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF1	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF2	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF3	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF4	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF5	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF6	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF7	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF8	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF9	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF10	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF11	ECOG	uV	n/a	n/a	512.0	good	n/a
LIF12	ECOG	uV	n/a	n/a	512.0	good	n/a
LST1	ECOG	uV	n/a	n/a	512.0	good	n/a
LST2	ECOG	uV	n/a	n/a	512.0	good	n/a
LST3	ECOG	uV	n/a	n/a	512.0	good	n/a
LST4	ECOG	uV	n/a	n/a	512.0	good	n/a
LST5	ECOG	uV	n/a	n/a	512.0	good	n/a
LST6	ECOG	uV	n/a	n/a	512.0	good	n/a
LST7	ECOG	uV	n/a	n/a	512.0	good	n/a
LST8	ECOG	uV	n/a	n/a	512.0	good	n/a
LST9	ECOG	uV	n/a	n/a	512.0	good	n/a
LST10	ECOG	uV	n/a	n/a	512.0	good	n/a
LPT1	ECOG	uV	n/a	n/a	512.0	good	n/a
LPT2	ECOG	uV	n/a	n/a	512.0	good	n/a
LPT3	ECOG	uV	n/a	n/a	512.0	good	n/a
LPT4	ECOG	uV	n/a	n/a	512.0	good	n/a
LPT5	ECOG	uV	n/a	n/a	512.0	good	n/a
LPT6	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF1	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF2	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF3	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF4	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF5	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF6	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF7	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF8	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF9	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF10	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF11	ECOG	uV	n/a	n/a	512.0	good	n/a
RSF12	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF1	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF2	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF3	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF4	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF5	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF6	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF7	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF8	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF9	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF10	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF11	ECOG	uV	n/a	n/a	512.0	good	n/a
RIF12	ECOG	uV	n/a	n/a	512.0	good	n/a
RST1	ECOG	uV	n/a	n/a	512.0	good	n/a
RST2	ECOG	uV	n/a	n/a	512.0	good	n/a
RST3	ECOG	uV	n/a	n/a	512.0	good	n/a
RST4	ECOG	uV	n/a	n/a	512.0	good	n/a
RST5	ECOG	uV	n/a	n/a	512.0	good	n/a
RST6	ECOG	uV	n/a	n/a	512.0	good	n/a
RST7	ECOG	uV	n/a	n/a	512.0	good	n/a
