name	x	y	z	size	group
LSF2	-25.0	30.0	62.0	4.1547562843725006	S
LSF3	-29.0	22.0	65.0	4.1547562843725006	S
LSF4	-30.0	13.333333	69.333333	4.1547562843725006	S
LSF5	-32.0	2.666667	70.666667	4.1547562843725006	S
LSF6	-32.8	-8.4	72.8	4.1547562843725006	S
LSF7	-35.5	-19.0	77.0	4.1547562843725006	S
LSF8	-35.5	-30.5	75.0	4.1547562843725006	S
LSF9	-34.666667	-42.0	74.666667	4.1547562843725006	S
LSF10	-35.0	-50.0	73.0	4.1547562843725006	S
LSF11	-33.0	-60.0	70.0	4.1547562843725006	S
LSF12	-34.0	-68.0	64.0	4.1547562843725006	S
LIF1	-51.0	40.0	29.0	4.1547562843725006	S
LIF2	-57.0	30.0	31.0	4.1547562843725006	S
LIF3	-60.0	20.666667	34.666667	4.1547562843725006	S
LIF4	-62.666667	10.0	36.666667	4.1547562843725006	S
LIF5	-63.0	2.0	37.0	4.1547562843725006	S
LIF6	-65.333333	-8.0	38.666667	4.1547562843725006	S
LIF7	-68.0	-19.333333	40.666667	4.1547562843725006	S
LIF8	-66.0	-29.0	43.0	4.1547562843725006	S
LIF9	-65.2	-38.4	42.8	4.1547562843725006	S
LIF10	-62.666667	-50.0	43.333333	4.1547562843725006	S
LIF11	-58.0	-60.0	42.0	4.1547562843725006	S
LIF12	-52.0	-69.0	42.0	4.1547562843725006	S
LST1	-66.0	18.0	17.0	4.1547562843725006	S
LST2	-68.0	9.0	18.0	4.1547562843725006	S
LST3	-70.0	-1.0	20.0	4.1547562843725006	S
LST4	-72.0	-10.0	20.0	4.1547562843725006	S
LST5	-72.0	-21.0	21.0	4.1547562843725006	S
LST6	-70.666667	-34.0	22.666667	4.1547562843725006	S
LST7	-68.0	-44.0	25.0	4.1547562843725006	S
LST8	-65.2	-54.8	25.6	4.1547562843725006	S
LST9	-60.0	-63.0	27.0	4.1547562843725006	S
LST10	-55.142857	-70.857143	29.142857	4.1547562843725006	S
LPT1	-71.0	-42.0	-16.0	4.1547562843725006	S
LPT2	-68.0	-50.0	-13.0	4.1547562843725006	S
LPT3	-65.142857	-58.857143	-5.142857	4.1547562843725006	S
LPT4	-61.0	-65.0	2.0	4.1547562843725006	S
LPT5	-56.666667	-72.0	9.333333	4.1547562843725006	S
LPT6	-51.0	-76.5	13.5	4.1547562843725006	S
RSF1	29.0	36.0	57.0	4.1547562843725006	S
RSF2	32.0	26.0	62.0	4.1547562843725006	S
RSF3	35.333333	16.0	62.666667	4.1547562843725006	S
RSF4	38.8	6.4	65.2	4.1547562843725006	S
RSF5	42.0	-3.333333	65.333333	4.1547562843725006	S
RSF6	48.0	-14.666667	64.666667	4.1547562843725006	S
RSF7	49.333333	-24.666667	66.0	4.1547562843725006	S
RSF8	48.0	-35.333333	64.666667	4.1547562843725006	S
RSF9	48.0	-46.0	61.0	4.1547562843725006	S
RSF10	46.666667	-56.666667	58.0	4.1547562843725006	S
RSF11	44.666667	-65.333333	54.0	4.1547562843725006	S
RSF12	42.0	-73.0	48.0	4.1547562843725006	S
RIF1	40.0	35.0	48.0	4.1547562843725006	S
RIF2	45.0	24.666667	51.333333	4.1547562843725006	S
RIF3	46.0	15.0	52.0	4.1547562843725006	S
RIF4	53.333333	8.666667	52.0	4.1547562843725006	S
RIF5	55.2	-2.4	51.2	4.1547562843725006	S
RIF6	60.0	-12.666667	48.666667	4.1547562843725006	S
RIF7	61.142857	-23.142857	48.857143	4.1547562843725006	S
RIF8	62.0	-33.0	48.0	4.1547562843725006	S
RIF9	61.0	-43.0	45.0	4.1547562843725006	S
RIF10	57.5	-52.5	43.0	4.1547562843725006	S
RIF11	54.666667	-63.0	40.666667	4.1547562843725006	S
RIF12	48.0	-72.666667	38.666667	4.1547562843725006	S
RST1	63.6	10.8	2.8	4.1547562843725006	S
RST2	66.0	1.333333	8.666667	4.1547562843725006	S
RST3	66.8	-7.2	12.4	4.1547562843725006	S
