name	x	y	z	size	group
GA2	-46.8	48.8	25.2	4.1547562843725006	G
GA3	-47.2	40.8	33.6	4.1547562843725006	G
GA4	-48.0	33.0	39.0	4.1547562843725006	G
GA5	-49.2	24.8	45.6	4.1547562843725006	G
GA6	-48.0	16.666667	52.666667	4.1547562843725006	G
GA7	-45.0	6.5	60.0	4.1547562843725006	G
GA8	-42.0	-5.0	65.0	4.1547562843725006	G
GA9	-51.0	52.0	12.0	4.1547562843725006	G
GA10	-53.6	44.8	19.2	4.1547562843725006	G
GA11	-55.333333	36.666667	26.0	4.1547562843725006	G
GA12	-56.0	29.0	33.0	4.1547562843725006	G
GA13	-55.333333	21.333333	40.0	4.1547562843725006	G
GA14	-56.0	11.0	46.0	4.1547562843725006	G
GA15	-54.857143	0.857143	53.142857	4.1547562843725006	G
GA16	-53.333333	-9.333333	58.0	4.1547562843725006	G
GA17	-57.0	46.0	3.0	4.1547562843725006	G
GA18	-59.333333	41.333333	11.0	4.1547562843725006	G
GA19	-61.0	32.0	19.0	4.1547562843725006	G
GA20	-65.6	22.0	25.2	4.1547562843725006	G
GA21	-64.0	13.0	32.0	4.1547562843725006	G
GA22	-63.142857	4.857143	39.142857	4.1547562843725006	G
GA23	-63.0	-4.0	45.0	4.1547562843725006	G
GA24	-61.0	-14.0	51.0	4.1547562843725006	G
GA25	-60.666667	40.666667	-5.0	4.1547562843725006	G
GA26	-63.0	33.333333	0.666667	4.1547562843725006	G
GA27	-66.0	25.0	11.0	4.1547562843725006	G
GA28	-66.0	16.0	17.0	4.1547562843725006	G
GA29	-70.0	8.0	24.0	4.1547562843725006	G
GA30	-67.0	0.0	30.0	4.1547562843725006	G
GA31	-67.0	-10.0	36.0	4.1547562843725006	G
GA32	-67.333333	-18.0	43.333333	4.1547562843725006	G
GA34	-62.0	25.0	-7.0	4.1547562843725006	G
GA35	-64.8	18.8	1.6	4.1547562843725006	G
GA36	-68.4	10.8	6.8	4.1547562843725006	G
GA37	-71.0	2.0	14.0	4.1547562843725006	G
GA38	-71.142857	-7.142857	21.142857	4.1547562843725006	G
GA39	-69.333333	-15.333333	28.0	4.1547562843725006	G
GA40	-69.0	-26.0	35.0	4.1547562843725006	G
GA41	-55.0	25.0	-22.0	4.1547562843725006	G
GA42	-62.0	19.0	-14.0	4.1547562843725006	G
GA43	-65.5	10.5	-9.0	4.1547562843725006	G
GA44	-69.333333	4.0	-1.333333	4.1547562843725006	G
GA45	-71.0	-6.0	6.0	4.1547562843725006	G
GA46	-73.333333	-12.666667	14.0	4.1547562843725006	G
GA47	-72.0	-22.0	21.0	4.1547562843725006	G
GA48	-72.0	-32.0	28.0	4.1547562843725006	G
GA49	-55.0	22.0	-29.0	4.1547562843725006	G
GA50	-63.0	14.0	-22.0	4.1547562843725006	G
GA51	-68.0	5.0	-16.0	4.1547562843725006	G
GA52	-71.0	-3.5	-8.5	4.1547562843725006	G
GA53	-72.0	-11.0	-1.0	4.1547562843725006	G
GA54	-73.0	-20.0	6.0	4.1547562843725006	G
GA55	-73.0	-29.0	13.0	4.1547562843725006	G
GA56	-71.333333	-38.0	18.666667	4.1547562843725006	G
GA57	-57.0	14.0	-38.0	4.1547562843725006	G
GA58	-63.0	7.0	-30.0	4.1547562843725006	G
GA59	-68.0	0.0	-24.0	4.1547562843725006	G
GA60	-72.0	-9.0	-17.0	4.1547562843725006	G
GA61	-73.6	-16.8	-9.2	4.1547562843725006	G
GA62	-73.0	-26.0	-2.0	4.1547562843725006	G
GA63	-73.0	-36.0	3.0	4.1547562843725006	G
GA64	-71.142857	-42.857143	10.857143	4.1547562843725006	G
GB1	-35.0	-89.0	30.0	4.1547562843725006	G
GB2	-44.0	-84.0	29.0	4.1547562843725006	G
GB3	-51.2	-77.6	24.8	4.1547562843725006	G
GB4	-57.333333	-68.666667	22.0	4.1547562843725006	G
GB5	-62.0	-62.0	20.0	4.1547562843725006	G
GB6	-67.0	-52.0	17.0	4.1547562843725006	G
GB7	-69.0	-45.0	12.0	4.1547562843725006	G
GB8	-72.4	-36.8	9.2	4.1547562843725006	G
GB9	-31.0	-87.5	40.5	4.1547562843725006	G
GB10	-40.0	-83.0	40.0	4.1547562843725006	G
GB11	-49.2	-75.6	36.8	4.1547562843725006	G
GB12	-56.0	-68.0	34.0	4.1547562843725006	G
GB13	-60.857143	-60.857143	31.142857	4.1547562843725006	G
GB14	-65.333333	-52.0	26.666667	4.1547562843725006	G
GB15	-70.0	-43.0	23.0	4.1547562843725006	G
GB16	-71.0	-35.0	19.0	4.1547562843725006	G
GB17	-27.333333	-78.0	57.333333	4.1547562843725006	G
GB18	-35.0	-71.333333	57.333333	4.1547562843725006	G
GB19	-46.0	-65.0	56.0	4.1547562843725006	G
GB20	-54.0	-58.0	52.0	4.1547562843725006	G
GB21	-60.0	-50.0	47.0	4.1547562843725006	G
GB22	-65.0	-45.0	41.333333	4.1547562843725006	G
GB23	-67.0	-37.333333	35.333333	4.1547562843725006	G
GB24	-70.666667	-30.666667	27.0	4.1547562843725006	G
GB25	-24.666667	-71.0	64.666667	4.1547562843725006	G
GB26	-34.0	-65.0	65.0	4.1547562843725006	G
GB27	-43.6	-58.8	63.2	4.1547562843725006	G
GB28	-51.2	-50.8	58.4	4.1547562843725006	G
GB29	-58.0	-44.0	54.0	4.1547562843725006	G
GB30	-63.333333	-36.666667	49.0	4.1547562843725006	G
GB31	-67.0	-29.0	42.0	4.1547562843725006	G
GB32	-69.142857	-23.142857	35.142857	4.1547562843725006	G
GB33	-21.0	-66.0	71.0	4.1547562843725006	G
GB34	-28.666667	-60.0	72.666667	4.1547562843725006	G
GB35	-37.0	-50.0	72.0	4.1547562843725006	G
GB36	-46.0	-45.0	66.0	4.1547562843725006	G
GB37	-52.0	-36.0	63.0	4.1547562843725006	G
GB38	-58.5	-29.0	57.0	4.1547562843725006	G
GB39	-64.0	-22.0	50.0	4.1547562843725006	G
GB40	-65.333333	-15.0	45.333333	4.1547562843725006	G
GB41	-13.5	-55.5	81.0	4.1547562843725006	G
GB42	-26.0	-51.333333	79.333333	4.1547562843725006	G
GB43	-31.5	-45.0	74.5	4.1547562843725006	G
GB44	-40.8	-36.8	72.8	4.1547562843725006	G
GB45	-46.666667	-28.666667	68.0	4.1547562843725006	G
GB46	-52.666667	-22.0	62.666667	4.1547562843725006	G
GB47	-58.5	-15.0	55.5	4.1547562843725006	G
GB48	-60.8	-8.4	48.8	4.1547562843725006	G
SSTP1	-39.333333	25.0	-41.333333	4.1547562843725006	S
SSTP2	-45.0	16.0	-46.0	4.1547562843725006	S
SSTP3	-49.142857	7.142857	-45.142857	4.1547562843725006	S
SSTP4	-58.0	-4.0	-42.0	4.1547562843725006	S
SSTP5	-61.333333	-11.0	-37.333333	4.1547562843725006	S
SSTP6	-63.0	-21.0	-31.0	4.1547562843725006	S
SSTP7	-69.0	-30.0	-25.0	4.1547562843725006	S
SSTP8	-71.333333	-38.666667	-17.0	4.1547562843725006	S
