name	type	units	low_cutoff	high_cutoff	sampling_frequency	status	status_description
GA1	ECOG	uV	n/a	n/a	512.0	bad	no localization
GA2	ECOG	uV	n/a	n/a	512.0	good	n/a
GA3	ECOG	uV	n/a	n/a	512.0	good	n/a
GA4	ECOG	uV	n/a	n/a	512.0	good	n/a
GA5	ECOG	uV	n/a	n/a	512.0	good	n/a
GA6	ECOG	uV	n/a	n/a	512.0	good	n/a
GA7	ECOG	uV	n/a	n/a	512.0	good	n/a
GA8	ECOG	uV	n/a	n/a	512.0	good	n/a
GA9	ECOG	uV	n/a	n/a	512.0	good	n/a
GA10	ECOG	uV	n/a	n/a	512.0	good	n/a
GA11	ECOG	uV	n/a	n/a	512.0	good	n/a
GA12	ECOG	uV	n/a	n/a	512.0	good	n/a
GA13	ECOG	uV	n/a	n/a	512.0	good	n/a
GA14	ECOG	uV	n/a	n/a	512.0	good	n/a
GA15	ECOG	uV	n/a	n/a	512.0	good	n/a
GA16	ECOG	uV	n/a	n/a	512.0	good	n/a
GA17	ECOG	uV	n/a	n/a	512.0	good	n/a
GA18	ECOG	uV	n/a	n/a	512.0	good	n/a
GA19	ECOG	uV	n/a	n/a	512.0	good	n/a
GA20	ECOG	uV	n/a	n/a	512.0	good	n/a
GA21	ECOG	uV	n/a	n/a	512.0	good	n/a
GA22	ECOG	uV	n/a	n/a	512.0	good	n/a
GA23	ECOG	uV	n/a	n/a	512.0	good	n/a
GA24	ECOG	uV	n/a	n/a	512.0	good	n/a
GA25	ECOG	uV	n/a	n/a	512.0	good	n/a
GA26	ECOG	uV	n/a	n/a	512.0	good	n/a
GA27	ECOG	uV	n/a	n/a	512.0	good	n/a
GA28	ECOG	uV	n/a	n/a	512.0	good	n/a
GA29	ECOG	uV	n/a	n/a	512.0	good	n/a
GA30	ECOG	uV	n/a	n/a	512.0	good	n/a
GA31	ECOG	uV	n/a	n/a	512.0	good	n/a
GA32	ECOG	uV	n/a	n/a	512.0	good	n/a
GA34	ECOG	uV	n/a	n/a	512.0	good	n/a
GA35	ECOG	uV	n/a	n/a	512.0	good	n/a
GA36	ECOG	uV	n/a	n/a	512.0	good	n/a
GA37	ECOG	uV	n/a	n/a	512.0	good	n/a
GA38	ECOG	uV	n/a	n/a	512.0	good	n/a
GA39	ECOG	uV	n/a	n/a	512.0	good	n/a
GA40	ECOG	uV	n/a	n/a	512.0	good	n/a
GA41	ECOG	uV	n/a	n/a	512.0	good	n/a
GA42	ECOG	uV	n/a	n/a	512.0	good	n/a
GA43	ECOG	uV	n/a	n/a	512.0	good	n/a
GA44	ECOG	uV	n/a	n/a	512.0	good	n/a
GA45	ECOG	uV	n/a	n/a	512.0	good	n/a
GA46	ECOG	uV	n/a	n/a	512.0	good	n/a
GA47	ECOG	uV	n/a	n/a	512.0	good	n/a
GA48	ECOG	uV	n/a	n/a	512.0	good	n/a
GA49	ECOG	uV	n/a	n/a	512.0	good	n/a
GA50	ECOG	uV	n/a	n/a	512.0	good	n/a
GA51	ECOG	uV	n/a	n/a	512.0	good	n/a
GA52	ECOG	uV	n/a	n/a	512.0	good	n/a
GA53	ECOG	uV	n/a	n/a	512.0	good	n/a
GA54	ECOG	uV	n/a	n/a	512.0	good	n/a
GA55	ECOG	uV	n/a	n/a	512.0	good	n/a
GA56	ECOG	uV	n/a	n/a	512.0	good	n/a
GA57	ECOG	uV	n/a	n/a	512.0	good	n/a
