name	x	y	z	size	group
G2	-52.0	28.0	40.0	4.1547562843725006	G
G3	-53.0	19.0	46.0	4.1547562843725006	G
G4	-54.0	9.0	50.0	4.1547562843725006	G
G5	-55.5	1.5	53.5	4.1547562843725006	G
G6	-54.0	-8.0	57.0	4.1547562843725006	G
G7	-54.0	-17.333333	58.666667	4.1547562843725006	G
G8	-54.0	-26.666667	62.666667	4.1547562843725006	G
G9	-56.5	34.5	28.0	4.1547562843725006	G
G10	-58.4	26.8	33.2	4.1547562843725006	G
G11	-59.0	17.0	38.0	4.1547562843725006	G
G12	-60.666667	8.0	42.666667	4.1547562843725006	G
G13	-61.0	-2.0	47.0	4.1547562843725006	G
G14	-61.333333	-11.333333	50.666667	4.1547562843725006	G
G15	-61.0	-20.0	52.0	4.1547562843725006	G
G16	-59.333333	-30.0	57.333333	4.1547562843725006	G
G17	-62.666667	31.0	16.666667	4.1547562843725006	G
G18	-64.5	23.5	23.0	4.1547562843725006	G
G19	-63.2	14.8	28.8	4.1547562843725006	G
G20	-65.0	6.0	33.0	4.1547562843725006	G
G21	-66.0	-3.0	37.0	4.1547562843725006	G
G22	-65.2	-12.8	39.2	4.1547562843725006	G
G23	-66.0	-24.0	44.0	4.1547562843725006	G
G24	-65.0	-32.666667	47.333333	4.1547562843725006	G
G25	-66.0	28.0	8.0	4.1547562843725006	G
G26	-66.0	18.0	13.0	4.1547562843725006	G
G27	-67.0	11.0	18.666667	4.1547562843725006	G
G28	-69.0	3.0	23.333333	4.1547562843725006	G
G29	-69.333333	-8.0	27.333333	4.1547562843725006	G
G30	-69.333333	-16.666667	31.333333	4.1547562843725006	G
G31	-68.666667	-27.333333	35.333333	4.1547562843725006	G
G32	-67.0	-36.666667	38.666667	4.1547562843725006	G
G33	-62.0	22.0	-2.0	4.1547562843725006	G
G34	-64.8	15.6	3.2	4.1547562843725006	G
G35	-70.0	7.0	8.0	4.1547562843725006	G
G36	-70.0	-3.0	14.0	4.1547562843725006	G
G37	-71.5	-11.5	19.5	4.1547562843725006	G
G38	-72.0	-20.666667	23.333333	4.1547562843725006	G
G39	-70.0	-32.0	26.0	4.1547562843725006	G
G40	-67.0	-40.0	31.0	4.1547562843725006	G
G41	-61.2	19.6	-10.8	4.1547562843725006	G
G42	-65.0	12.0	-6.0	4.1547562843725006	G
G43	-69.2	2.8	0.4	4.1547562843725006	G
G44	-70.666667	-6.0	5.333333	4.1547562843725006	G
G45	-72.666667	-16.0	11.333333	4.1547562843725006	G
G46	-72.0	-25.333333	15.333333	4.1547562843725006	G
G47	-71.333333	-35.333333	18.0	4.1547562843725006	G
G48	-69.0	-44.0	22.0	4.1547562843725006	G
G49	-60.8	16.8	-19.2	4.1547562843725006	G
G50	-66.0	9.333333	-14.666667	4.1547562843725006	G
G51	-69.333333	-0.666667	-9.333333	4.1547562843725006	G
G52	-71.333333	-8.666667	-4.0	4.1547562843725006	G
G53	-73.333333	-20.0	1.333333	4.1547562843725006	G
G54	-72.0	-29.0	4.0	4.1547562843725006	G
G55	-72.0	-39.0	8.0	4.1547562843725006	G
G56	-68.666667	-47.333333	12.0	4.1547562843725006	G
G57	-60.5	13.5	-30.5	4.1547562843725006	G
G58	-66.0	3.0	-25.0	4.1547562843725006	G
G59	-71.0	-4.0	-19.0	4.1547562843725006	G
G60	-74.0	-13.333333	-12.666667	4.1547562843725006	G
G61	-73.333333	-24.0	-9.333333	4.1547562843725006	G
G62	-73.0	-34.0	-4.0	4.1547562843725006	G
G63	-73.0	-42.0	0.0	4.1547562843725006	G
G64	-68.666667	-51.333333	4.0	4.1547562843725006	G
SF1	-21.333333	-37.333333	82.0	4.1547562843725006	S
SF2	-32.666667	-32.666667	77.333333	4.1547562843725006	S
SF3	-40.5	-26.5	72.5	4.1547562843725006	S
SF4	-50.666667	-19.333333	64.666667	4.1547562843725006	S
SF5	-54.0	-11.0	57.0	4.1547562843725006	S
SF6	-59.333333	-6.666667	52.0	4.1547562843725006	S
AF1	-4.0	55.0	30.0	4.1547562843725006	S
AF2	-5.0	54.0	39.0	4.1547562843725006	S
AF3	-9.0	52.0	51.0	4.1547562843725006	S
AF4	-17.333333	48.0	53.333333	4.1547562843725006	S
AF5	-24.0	41.0	54.0	4.1547562843725006	S
AF6	-33.5	37.0	51.5	4.1547562843725006	S
AF7	-41.0	30.5	51.0	4.1547562843725006	S
AF8	-49.0	25.0	48.0	4.1547562843725006	S
IF1	-8.0	52.0	-26.0	4.1547562843725006	S
IF2	-17.0	53.0	-26.0	4.1547562843725006	S
IF3	-25.0	50.0	-23.0	4.1547562843725006	S
IF4	-35.0	53.0	-20.0	4.1547562843725006	S
IF5	-45.2	55.2	-15.6	4.1547562843725006	S
IF6	-53.0	50.0	-5.0	4.1547562843725006	S
AT1	-15.5	-3.0	-37.0	4.1547562843725006	S
AT2	-19.0	3.5	-45.5	4.1547562843725006	S
AT3	-27.0	13.0	-48.0	4.1547562843725006	S
