name	x	y	z	size	group
PF2	-38.104061	23.36537	30.237642	4.1547562843725006	S
PF3	-34.524364	19.71763	40.578403	4.1547562843725006	S
PF4	-29.412216	18.318985	47.808689	4.1547562843725006	S
PF5	-24.499084	15.592648	56.268032	4.1547562843725006	S
PF6	-19.251139	8.991052	62.04475	4.1547562843725006	S
LF1	-22.557753	62.411552	9.570661	4.1547562843725006	S
LF2	-30.972931	57.812008	17.158976	4.1547562843725006	S
LF3	-32.030338	50.675812	25.806314	4.1547562843725006	S
LF4	-30.786375	43.09901	33.605251	4.1547562843725006	S
LF5	-28.630455	35.989861	40.23201	4.1547562843725006	S
LF6	-25.480785	29.924299	46.636181	4.1547562843725006	S
LF7	-23.128092	22.399092	53.9589	4.1547562843725006	S
LF8	-19.618891	16.569963	59.836472	4.1547562843725006	S
MF1	-13.651509	72.796516	27.530458	4.1547562843725006	S
MF2	-18.701412	65.491844	32.966038	4.1547562843725006	S
MF3	-21.756174	57.705563	37.924202	4.1547562843725006	S
MF4	-21.924557	49.217381	42.802921	4.1547562843725006	S
MF5	-20.423828	40.858162	47.020599	4.1547562843725006	S
MF6	-19.468298	32.247791	52.357418	4.1547562843725006	S
MF7	-19.478025	23.139069	58.362709	4.1547562843725006	S
MF8	-19.315891	13.538834	61.842663	4.1547562843725006	S
SFP1	-37.703583	-3.221701	42.505917	4.1547562843725006	S
SFP2	-39.525135	-12.437881	38.856567	4.1547562843725006	S
SFP3	-39.873852	-23.167191	38.231297	4.1547562843725006	S
SFP4	-38.297916	-32.477383	37.057159	4.1547562843725006	S
SFP5	-36.080833	-42.863068	34.239574	4.1547562843725006	S
SFP6	-32.636173	-50.2556	30.496113	4.1547562843725006	S
IFP1	-49.934372	-7.520152	16.170158	4.1547562843725006	S
IFP2	-50.360229	-16.910547	18.007814	4.1547562843725006	S
IFP3	-48.870945	-27.131405	20.612797	4.1547562843725006	S
IFP4	-45.090691	-36.44141	23.007776	4.1547562843725006	S
IFP5	-43.662109	-44.044453	22.495388	4.1547562843725006	S
IFP6	-35.501587	-54.771355	22.196007	4.1547562843725006	S
PO1	-52.959724	-21.399782	-15.695053	4.1547562843725006	S
PO2	-50.448334	-29.470228	-8.355343	4.1547562843725006	S
PO3	-50.776386	-37.453037	-2.007629	4.1547562843725006	S
PO4	-47.580387	-43.771999	5.031876	4.1547562843725006	S
PO5	-43.961117	-50.595425	10.977763	4.1547562843725006	S
PO6	-35.763699	-56.474842	17.701197	4.1547562843725006	S
O1	-19.997673	-71.357742	-16.507889	4.1547562843725006	S
O2	-23.4884	-72.946945	-6.761993	4.1547562843725006	S
O3	-24.593254	-71.167389	2.966231	4.1547562843725006	S
O4	-26.306204	-66.358177	11.660683	4.1547562843725006	S
DI1	-25.0	26.0	-6.0	4.1547562843725006	D
DI2	-25.333333	21.333333	-4.111111	4.1547562843725006	D
DI3	-25.666667	16.666667	-2.222222	4.1547562843725006	D
DI4	-26.0	12.0	-0.333333	4.1547562843725006	D
DI5	-26.333333	7.333333	1.555556	4.1547562843725006	D
DI6	-26.666667	2.666667	3.444444	4.1547562843725006	D
DI7	-27.0	-2.0	5.333333	4.1547562843725006	D
DI8	-27.333333	-6.666667	7.222222	4.1547562843725006	D
DI9	-27.666667	-11.333333	9.111111	4.1547562843725006	D
DI10	-28.0	-16.0	11.0	4.1547562843725006	D
DIF1	-10.0	42.0	-6.0	4.1547562843725006	D
DIF2	-10.545455	39.545455	-1.636364	4.1547562843725006	D
DIF3	-11.090909	37.090909	2.727273	4.1547562843725006	D
DIF4	-11.636364	34.636364	7.090909	4.1547562843725006	D
DIF5	-12.181818	32.181818	11.454545	4.1547562843725006	D
DIF6	-12.727273	29.727273	15.818182	4.1547562843725006	D
DIF7	-13.272727	27.272727	20.181818	4.1547562843725006	D
DIF8	-13.818182	24.818182	24.545455	4.1547562843725006	D
DIF9	-14.363636	22.363636	28.909091	4.1547562843725006	D
DIF10	-14.909091	19.909091	33.272727	4.1547562843725006	D
DIF11	-15.454545	17.454545	37.636364	4.1547562843725006	D
DIF12	-16.0	15.0	42.0	4.1547562843725006	D
DLT1	-35.0	22.0	-24.0	4.1547562843725006	D
DLT2	-34.555556	14.0	-18.666667	4.1547562843725006	D
DLT3	-34.111111	6.0	-13.333333	4.1547562843725006	D
DLT4	-33.666667	-2.0	-8.0	4.1547562843725006	D
DLT5	-33.222222	-10.0	-2.666667	4.1547562843725006	D
DLT6	-32.777778	-18.0	2.666667	4.1547562843725006	D
DLT7	-32.333333	-26.0	8.0	4.1547562843725006	D
DLT8	-31.888889	-34.0	13.333333	4.1547562843725006	D
DLT9	-31.444444	-42.0	18.666667	4.1547562843725006	D
DLT10	-31.0	-50.0	24.0	4.1547562843725006	D
DMF1	5.0	48.0	24.0	4.1547562843725006	D
DMF2	3.444444	44.444444	27.111111	4.1547562843725006	D
DMF3	1.888889	40.888889	30.222222	4.1547562843725006	D
DMF4	0.333333	37.333333	33.333333	4.1547562843725006	D
DMF5	-1.222222	33.777778	36.444444	4.1547562843725006	D
DMF6	-2.777778	30.222222	39.555556	4.1547562843725006	D
DMF7	-4.333333	26.666667	42.666667	4.1547562843725006	D
DMF8	-5.888889	23.111111	45.777778	4.1547562843725006	D
DMF9	-7.444444	19.555556	48.888889	4.1547562843725006	D
DMF10	-9.0	16.0	52.0	4.1547562843725006	D
DMP1	-1.0	-25.0	36.0	4.1547562843725006	D
DMP2	-3.777778	-28.0	35.0	4.1547562843725006	D
DMP3	-6.555556	-31.0	34.0	4.1547562843725006	D
DMP4	-9.333333	-34.0	33.0	4.1547562843725006	D
DMP5	-12.111111	-37.0	32.0	4.1547562843725006	D
DMP6	-14.888889	-40.0	31.0	4.1547562843725006	D
DMP7	-17.666667	-43.0	30.0	4.1547562843725006	D
DMP8	-20.444444	-46.0	29.0	4.1547562843725006	D
DMP9	-23.222222	-49.0	28.0	4.1547562843725006	D
DMP10	-26.0	-52.0	27.0	4.1547562843725006	D
