name	x	y	z	size	group
G2	-54.4	-76.8	3.2	4.1547562843725006	G
G3	-58.0	-70.0	-1.0	4.1547562843725006	G
G4	-64.0	-60.0	-6.0	4.1547562843725006	G
G5	-68.0	-52.0	-11.0	4.1547562843725006	G
G6	-71.6	-42.8	-12.8	4.1547562843725006	G
G7	-73.0	-33.0	-16.0	4.1547562843725006	G
G8	-64.0	-21.5	-24.0	4.1547562843725006	G
G9	-48.8	-81.2	17.6	4.1547562843725006	G
G10	-55.0	-73.333333	12.666667	4.1547562843725006	G
G11	-60.666667	-66.0	8.666667	4.1547562843725006	G
G12	-68.0	-56.666667	4.666667	4.1547562843725006	G
G13	-71.0	-47.0	2.0	4.1547562843725006	G
G14	-73.0	-36.666667	-1.333333	4.1547562843725006	G
G15	-73.6	-27.2	-5.2	4.1547562843725006	G
G16	-63.142857	-14.857143	-10.0	4.1547562843725006	G
G17	-48.857143	-78.857143	25.142857	4.1547562843725006	G
G18	-56.0	-71.0	23.0	4.1547562843725006	G
G19	-62.5	-61.5	21.0	4.1547562843725006	G
G20	-67.142857	-50.857143	17.142857	4.1547562843725006	G
G21	-70.5	-40.5	13.0	4.1547562843725006	G
G22	-72.0	-30.0	10.0	4.1547562843725006	G
G23	-71.333333	-21.333333	7.0	4.1547562843725006	G
G24	-72.0	-10.666667	2.666667	4.1547562843725006	G
G25	-48.0	-76.666667	36.666667	4.1547562843725006	G
G26	-55.333333	-68.0	32.666667	4.1547562843725006	G
G27	-62.0	-57.333333	30.666667	4.1547562843725006	G
G28	-67.2	-46.4	28.8	4.1547562843725006	G
G29	-70.666667	-36.0	25.333333	4.1547562843725006	G
G30	-72.0	-25.0	22.0	4.1547562843725006	G
G31	-72.0	-15.333333	18.666667	4.1547562843725006	G
G32	-72.666667	-4.666667	14.666667	4.1547562843725006	G
G33	-47.0	-72.0	45.0	4.1547562843725006	G
G34	-54.0	-64.0	45.0	4.1547562843725006	G
G35	-60.0	-53.0	43.0	4.1547562843725006	G
G36	-66.0	-42.0	39.0	4.1547562843725006	G
G37	-69.0	-30.0	36.0	4.1547562843725006	G
G38	-68.666667	-18.0	33.333333	4.1547562843725006	G
G39	-71.0	-8.666667	29.333333	4.1547562843725006	G
G40	-69.0	-1.0	27.0	4.1547562843725006	G
G41	-42.0	-68.0	56.0	4.1547562843725006	G
G42	-50.0	-59.333333	55.333333	4.1547562843725006	G
G43	-57.2	-48.4	52.8	4.1547562843725006	G
G44	-61.0	-37.0	51.0	4.1547562843725006	G
G45	-64.0	-26.0	49.0	4.1547562843725006	G
G46	-65.5	-15.0	45.0	4.1547562843725006	G
G47	-65.333333	-4.666667	40.0	4.1547562843725006	G
G48	-61.333333	6.0	38.666667	4.1547562843725006	G
AT1	-5.0	-36.666667	2.666667	4.1547562843725006	S
AT2	-11.333333	-30.0	-6.666667	4.1547562843725006	S
AT3	-22.4	-25.2	-13.6	4.1547562843725006	S
AT4	-31.0	-19.0	-16.333333	4.1547562843725006	S
PT1	-23.142857	-89.142857	-24.857143	4.1547562843725006	S
PT2	-30.8	-80.4	-20.8	4.1547562843725006	S
PT3	-38.5	-71.0	-19.5	4.1547562843725006	S
PT4	-46.0	-63.0	-21.0	4.1547562843725006	S
DAI1	-32.0	-2.333333	-1.333333	4.1547562843725006	D
DAI2	-40.0	0.0	-3.0	4.1547562843725006	D
DAI3	-46.0	3.333333	-6.666667	4.1547562843725006	D
DAI4	-50.666667	6.0	-8.666667	4.1547562843725006	D
DAM1	-19.6	-15.2	-16.8	4.1547562843725006	D
DAM2	-24.666667	-12.0	-16.666667	4.1547562843725006	D
DAM3	-30.0	-8.0	-17.0	4.1547562843725006	D
DAM4	-90.0	126.0	72.0	4.1547562843725006	D
DPI1	-36.5	-21.833333	-0.833333	4.1547562843725006	D
DPI2	-42.0	-17.0	-0.333333	4.1547562843725006	D
DPI3	-46.0	-13.333333	-1.333333	4.1547562843725006	D
DPI4	-48.8	-10.0	-2.4	4.1547562843725006	D
DPM1	-24.666667	-41.333333	5.0	4.1547562843725006	D
DPM2	-28.0	-40.0	4.0	4.1547562843725006	D
DPM3	-32.0	-40.0	2.0	4.1547562843725006	D
DPM4	-36.0	-31.714286	-2.857143	4.1547562843725006	D
DPM5	-39.111111	-26.444444	-10.888889	4.1547562843725006	D
DPM6	-48.222222	-22.111111	-15.111111	4.1547562843725006	D
DPM7	-53.090909	-20.181818	-18.0	4.1547562843725006	D
DPM8	-58.0	-17.2	-21.6	4.1547562843725006	D
